корова,молоко,214.4
корова,бык,38.6
корова,луг,28.4
корова,вымя,26.3
корова,трава,15.8
корова,животное,13.3
корова,бурёнка,9.0
корова,доярка,8.1
корова,телёнок,6.3
корова,пастбище,5.8
корова,мычание,5.0
корова,поле,4.1
корова,клевер,4.0
корова,дойка,3.4
корова,рог,2.9
корова,милка,2.9
корова,загон,2.0
корова,конь,2.0
корова,творог,2.0
корова,еда,2.0
корова,колокольчик,2.0
корова,сыр,2.0
корова,коза,1.4
корова,удой,1.3
корова,хвост,1.3
корова,коровка,1.2
корова,доброта,1.2
корова,отёл,1.2
корова,телятина,1.1
корова,нос,1.1
корова,баран,1.1
корова,силос,1.1
корова,стадо,0.9
корова,пастух,0.8
корова,пятно,0.8
корова,женщина,0.7
корова,кормилица,0.7
корова,лёд,0.7
корова,тепло,0.6
корова,толстуха,0.6
пляж,песок,202.8
пляж,загар,31.4
пляж,солнце,29.0
пляж,жара,23.9
пляж,волейбол,11.7
пляж,нудист,7.7
пляж,курорт,7.5
пляж,галька,7.1
пляж,отпуск,5.9
пляж,волна,5.3
пляж,купальник,5.2
пляж,шезлонг,4.8
пляж,прибой,3.8
пляж,секс,3.8
пляж,река,3.7
пляж,пальма,3.4
пляж,вода,3.3
пляж,чайка,2.9
пляж,тепло,2.8
пляж,бикини,2.7
пляж,лежак,2.6
пляж,зонтик,2.0
пляж,зонт,2.0
пляж,океан,2.0
пляж,мяч,2.0
пляж,полотенце,2.0
пляж,купание,2.0
пляж,юг,2.0
пляж,краб,2.0
пляж,лагуна,2.0
пляж,ракушка,1.4
пляж,коктейль,1.3
пляж,кукуруза,1.2
пляж,шляпа,1.2
пляж,закат,1.2
пляж,спасатель,1.1
пляж,замок,1.1
пляж,крем,1.1
пляж,пахлава,1.1
пляж,озеро,1.1
пляж,песочница,1.1
пляж,радость,1.1
пляж,акула,0.8
пляж,гамак,0.7
пляж,стекло,0.6
море,пляж,157.4
море,песок,104.8
море,волна,65.7
море,океан,44.2
море,солнце,41.7
море,корабль,38.3
море,рыба,25.5
море,ракушка,24.0
море,парус,21.2
море,шторм,19.7
море,глубина,16.1
море,соль,15.6
море,загар,13.0
море,дельфин,12.8
море,прибой,12.4
море,закат,10.7
море,чайка,10.1
море,яхта,7.0
море,озеро,7.0
море,суша,6.9
море,лодка,6.9
море,волнение,6.7
море,шум,5.9
море,штиль,5.8
море,акула,5.7
море,кит,5.5
море,дно,5.0
море,гладь,5.0
море,пират,5.0
море,медуза,4.5
море,бездна,4.5
море,галька,4.4
море,русалка,4.3
море,акваланг,4.0
море,залив,4.0
море,звезда,3.8
море,земля,3.8
море,спокойствие,3.7
море,синь,3.6
море,водоём,3.5
море,горизонт,3.4
море,лагуна,3.0
море,влага,3.0
море,крейсер,3.0
море,жизнь,3.0
море,удовольствие,3.0
море,воздух,2.9
море,качка,2.8
море,мечта,2.8
море,буря,2.8
море,водолаз,2.0
море,прохлада,2.0
море,простор,2.0
море,гавань,2.0
море,вал,2.0
море,нереида,2.0
море,взморье,2.0
море,мореход,2.0
море,свежесть,2.0
море,теплоход,2.0
море,осьминог,2.0
море,рыбак,2.0
море,пролив,2.0
море,катамаран,2.0
море,планктон,2.0
море,мост,2.0
море,шхуна,2.0
море,причал,2.0
море,сеть,2.0
море,эхолот,2.0
море,погружение,2.0
море,бирюза,2.0
море,картина,2.0
море,плавание,1.4
море,стихия,1.4
море,прилив,1.4
море,свобода,1.4
море,парусник,1.4
море,даль,1.4
море,лазурь,1.4
море,красота,1.3
море,впадина,1.3
море,пальма,1.3
море,шезлонг,1.2
море,тишь,1.2
море,утро,1.2
море,широта,1.2
море,мореплаватель,1.2
море,плеск,1.2
море,необъятность,1.2
море,гора,1.2
море,лукоморье,1.2
море,лиман,1.2
море,запах,1.2
море,позитив,1.2
море,дом,1.2
море,бикини,1.2
море,речка,1.2
море,отель,1.2
море,сказка,1.1
море,пирс,1.1
море,поездка,1.1
море,подлодка,1.1
море,янтарь,1.1
море,фрегат,1.1
море,путь,1.1
море,песня,1.1
море,маринист,1.1
море,безмятежность,1.1
море,зов,1.1
море,секс,1.1
море,смерть,1.1
море,солёность,0.8
море,любовь,0.8
море,колено,0.8
море,бескрайность,0.8
море,покой,0.7
море,сила,0.7
море,девушка,0.7
море,кайф,0.6
море,край,0.6
море,пиво,0.6
море,мир,0.6
море,тайна,0.6
море,суровость,0.6
путь,дорога,155.3
путь,движение,23.0
путь,маршрут,21.6
